"STATION","DATE","TAVG","TMAX","TMIN"
"USW00013874","1996-01-01",,"53","50"
"USW00013874","1996-01-02",,"65","47"
"USW00013874","1996-01-03",,"47","30"
"USW00013874","1996-01-04",,"43","25"
"USW00013874","1996-01-05",,"54","30"
"USW00013874","1996-01-06",,"47","37"
"USW00013874","1996-01-07",,"37","19"
"USW00013874","1996-01-08",,"30","18"
"USW00013874","1996-01-09",,"49","18"
"USW00013874","1996-01-10",,"47","32"
"USW00013874","1996-01-11",,"45","28"
"USW00013874","1996-01-12",,"40","31"
"USW00013874","1996-01-13",,"55","29"
"USW00013874","1996-01-14",,"67","33"
"USW00013874","1996-01-15",,"67","42"
"USW00013874","1996-01-16",,"51","44"
"USW00013874","1996-01-17",,"50","41"
"USW00013874","1996-01-18",,"65","50"
"USW00013874","1996-01-19",,"50","18"
"USW00013874","1996-01-20",,"43","16"
"USW00013874","1996-01-21",,"47","27"
"USW00013874","1996-01-22",,"50","26"
"USW00013874","1996-01-23",,"64","29"
"USW00013874","1996-01-24",,"59","31"
"USW00013874","1996-01-25",,"50","25"
"USW00013874","1996-01-26",,"46","34"
"USW00013874","1996-01-27",,"53","30"
"USW00013874","1996-01-28",,"48","24"
"USW00013874","1996-01-29",,"45","31"
"USW00013874","1996-01-30",,"56","40"
"USW00013874","1996-01-31",,"57","30"
"USW00013874","1996-02-01",,"40","29"
"USW00013874","1996-02-02",,"39","26"
"USW00013874","1996-02-03",,"26","14"
"USW00013874","1996-02-04",,"18","7"
"USW00013874","1996-02-05",,"31","6"
"USW00013874","1996-02-06",,"42","19"
"USW00013874","1996-02-07",,"53","31"
"USW00013874","1996-02-08",,"62","45"
"USW00013874","1996-02-09",,"68","49"
"USW00013874","1996-02-10",,"73","41"
"USW00013874","1996-02-11",,"62","42"
"USW00013874","1996-02-12",,"46","32"
"USW00013874","1996-02-13",,"56","28"
"USW00013874","1996-02-14",,"66","44"
"USW00013874","1996-02-15",,"62","37"
"USW00013874","1996-02-16",,"37","29"
"USW00013874","1996-02-17",,"49","22"
"USW00013874","1996-02-18",,"58","31"
"USW00013874","1996-02-19",,"63","36"
"USW00013874","1996-02-20",,"70","53"
"USW00013874","1996-02-21",,"72","48"
"USW00013874","1996-02-22",,"72","55"
"USW00013874","1996-02-23",,"78","55"
"USW00013874","1996-02-24",,"71","52"
"USW00013874","1996-02-25",,"78","44"
"USW00013874","1996-02-26",,"80","54"
"USW00013874","1996-02-27",,"76","61"
"USW00013874","1996-02-28",,"67","47"
"USW00013874","1996-02-29",,"49","34"
"USW00013874","1996-03-01",,"50","36"
"USW00013874","1996-03-02",,"60","33"
"USW00013874","1996-03-03",,"59","39"
"USW00013874","1996-03-04",,"70","37"
"USW00013874","1996-03-05",,"74","52"
"USW00013874","1996-03-06",,"65","58"
"USW00013874","1996-03-07",,"63","30"
"USW00013874","1996-03-08",,"31","20"
"USW00013874","1996-03-09",,"40","16"
"USW00013874","1996-03-10",,"45","26"
"USW00013874","1996-03-11",,"58","31"
"USW00013874","1996-03-12",,"62","31"
"USW00013874","1996-03-13",,"71","40"
"USW00013874","1996-03-14",,"74","50"
"USW00013874","1996-03-15",,"76","57"
"USW00013874","1996-03-16",,"73","55"
"USW00013874","1996-03-17",,"72","58"
"USW00013874","1996-03-18",,"67","48"
"USW00013874","1996-03-19",,"55","39"
"USW00013874","1996-03-20",,"43","32"
"USW00013874","1996-03-21",,"50","31"
"USW00013874","1996-03-22",,"61","30"
"USW00013874","1996-03-23",,"68","34"
"USW00013874","1996-03-24",,"76","46"
"USW00013874","1996-03-25",,"63","54"
"USW00013874","1996-03-26",,"66","45"
"USW00013874","1996-03-27",,"55","46"
"USW00013874","1996-03-28",,"47","43"
"USW00013874","1996-03-29",,"67","44"
"USW00013874","1996-03-30",,"61","50"
"USW00013874","1996-03-31",,"55","52"
"USW00013874","1996-04-01",,"53","43"
"USW00013874","1996-04-02",,"71","36"
"USW00013874","1996-04-03",,"78","44"
"USW00013874","1996-04-04",,"77","54"
"USW00013874","1996-04-05",,"65","46"
"USW00013874","1996-04-06",,"49","39"
"USW00013874","1996-04-07",,"60","35"
"USW00013874","1996-04-08",,"69","44"
"USW00013874","1996-04-09",,"59","40"
"USW00013874","1996-04-10",,"62","34"
"USW00013874","1996-04-11",,"75","41"
"USW00013874","1996-04-12",,"76","51"
"USW00013874","1996-04-13",,"77","58"
"USW00013874","1996-04-14",,"84","55"
"USW00013874","1996-04-15",,"73","50"
"USW00013874","1996-04-16",,"69","43"
"USW00013874","1996-04-17",,"80","50"
"USW00013874","1996-04-18",,"79","53"
"USW00013874","1996-04-19",,"73","60"
"USW00013874","1996-04-20",,"81","61"
"USW00013874","1996-04-21",,"84","61"
"USW00013874","1996-04-22",,"84","62"
"USW00013874","1996-04-23",,"73","50"
"USW00013874","1996-04-24",,"74","43"
"USW00013874","1996-04-25",,"81","52"
"USW00013874","1996-04-26",,"80","60"
"USW00013874","1996-04-27",,"76","50"
"USW00013874","1996-04-28",,"86","50"
"USW00013874","1996-04-29",,"85","64"
"USW00013874","1996-04-30",,"64","47"
"USW00013874","1996-05-01",,"76","44"
"USW00013874","1996-05-02",,"81","52"
"USW00013874","1996-05-03",,"84","58"
"USW00013874","1996-05-04",,"86","63"
"USW00013874","1996-05-05",,"87","70"
"USW00013874","1996-05-06",,"91","67"
"USW00013874","1996-05-07",,"87","64"
"USW00013874","1996-05-08",,"88","65"
"USW00013874","1996-05-09",,"89","68"
"USW00013874","1996-05-10",,"87","65"
"USW00013874","1996-05-11",,"83","66"
"USW00013874","1996-05-12",,"72","53"
"USW00013874","1996-05-13",,"74","55"
"USW00013874","1996-05-14",,"72","56"
"USW00013874","1996-05-15",,"79","61"
"USW00013874","1996-05-16",,"84","59"
"USW00013874","1996-05-17",,"90","68"
"USW00013874","1996-05-18",,"92","68"
"USW00013874","1996-05-19",,"92","71"
"USW00013874","1996-05-20",,"92","70"
"USW00013874","1996-05-21",,"93","68"
"USW00013874","1996-05-22",,"91","70"
"USW00013874","1996-05-23",,"94","67"
"USW00013874","1996-05-24",,"95","70"
"USW00013874","1996-05-25",,"89","69"
"USW00013874","1996-05-26",,"93","71"
"USW00013874","1996-05-27",,"92","70"
"USW00013874","1996-05-28",,"78","67"
"USW00013874","1996-05-29",,"88","65"
"USW00013874","1996-05-30",,"82","63"
"USW00013874","1996-05-31",,"78","58"
"USW00013874","1996-06-01",,"80","59"
"USW00013874","1996-06-02",,"80","62"
"USW00013874","1996-06-03",,"84","68"
"USW00013874","1996-06-04",,"85","64"
"USW00013874","1996-06-05",,"87","64"
"USW00013874","1996-06-06",,"89","66"
"USW00013874","1996-06-07",,"89","68"
"USW00013874","1996-06-08",,"81","67"
"USW00013874","1996-06-09",,"83","66"
"USW00013874","1996-06-10",,"82","65"
"USW00013874","1996-06-11",,"85","63"
"USW00013874","1996-06-12",,"87","67"
"USW00013874","1996-06-13",,"88","70"
"USW00013874","1996-06-14",,"87","70"
"USW00013874","1996-06-15",,"92","68"
"USW00013874","1996-06-16",,"90","70"
"USW00013874","1996-06-17",,"89","70"
"USW00013874","1996-06-18",,"89","72"
"USW00013874","1996-06-19",,"92","73"
"USW00013874","1996-06-20",,"93","71"
"USW00013874","1996-06-21",,"95","72"
"USW00013874","1996-06-22",,"97","73"
"USW00013874","1996-06-23",,"98","76"
"USW00013874","1996-06-24",,"96","76"
"USW00013874","1996-06-25",,"94","75"
"USW00013874","1996-06-26",,"94","72"
"USW00013874","1996-06-27",,"89","74"
"USW00013874","1996-06-28",,"91","69"
"USW00013874","1996-06-29",,"92","70"
"USW00013874","1996-06-30",,"95","71"
"USW00013874","1996-07-01",,"98","74"
"USW00013874","1996-07-02",,"97","79"
"USW00013874","1996-07-03",,"97","74"
"USW00013874","1996-07-04",,"90","63"
"USW00013874","1996-07-05",,"89","70"
"USW00013874","1996-07-06",,"93","71"
"USW00013874","1996-07-07",,"94","74"
"USW00013874","1996-07-08",,"91","73"
"USW00013874","1996-07-09",,"93","72"
"USW00013874","1996-07-10",,"93","68"
"USW00013874","1996-07-11",,"90","71"
"USW00013874","1996-07-12",,"92","70"
"USW00013874","1996-07-13",,"93","73"
"USW00013874","1996-07-14",,"93","73"
"USW00013874","1996-07-15",,"83","74"
"USW00013874","1996-07-16",,"91","72"
"USW00013874","1996-07-17",,"96","74"
"USW00013874","1996-07-18",,"95","71"
"USW00013874","1996-07-19",,"96","75"
"USW00013874","1996-07-20",,"99","78"
"USW00013874","1996-07-21",,"91","75"
"USW00013874","1996-07-22",,"95","75"
"USW00013874","1996-07-23",,"92","73"
"USW00013874","1996-07-24",,"93","71"
"USW00013874","1996-07-25",,"85","71"
"USW00013874","1996-07-26",,"85","70"
"USW00013874","1996-07-27",,"82","70"
"USW00013874","1996-07-28",,"79","69"
"USW00013874","1996-07-29",,"90","67"
"USW00013874","1996-07-30",,"92","73"
"USW00013874","1996-07-31",,"87","73"
"USW00013874","1996-08-01",,"86","73"
"USW00013874","1996-08-02",,"90","72"
"USW00013874","1996-08-03",,"85","70"
"USW00013874","1996-08-04",,"91","72"
"USW00013874","1996-08-05",,"93","71"
"USW00013874","1996-08-06",,"88","73"
"USW00013874","1996-08-07",,"91","73"
"USW00013874","1996-08-08",,"85","73"
"USW00013874","1996-08-09",,"90","74"
"USW00013874","1996-08-10",,"89","69"
"USW00013874","1996-08-11",,"88","74"
"USW00013874","1996-08-12",,"86","72"
"USW00013874","1996-08-13",,"85","69"
"USW00013874","1996-08-14",,"86","68"
"USW00013874","1996-08-15",,"89","67"
"USW00013874","1996-08-16",,"90","69"
"USW00013874","1996-08-17",,"91","70"
"USW00013874","1996-08-18",,"92","72"
"USW00013874","1996-08-19",,"90","71"
"USW00013874","1996-08-20",,"89","69"
"USW00013874","1996-08-21",,"90","71"
"USW00013874","1996-08-22",,"91","69"
"USW00013874","1996-08-23",,"91","71"
"USW00013874","1996-08-24",,"91","70"
"USW00013874","1996-08-25",,"85","69"
"USW00013874","1996-08-26",,"88","70"
"USW00013874","1996-08-27",,"84","71"
"USW00013874","1996-08-28",,"86","71"
"USW00013874","1996-08-29",,"88","70"
"USW00013874","1996-08-30",,"84","72"
"USW00013874","1996-08-31",,"83","70"
"USW00013874","1996-09-01",,"80","66"
"USW00013874","1996-09-02",,"74","66"
"USW00013874","1996-09-03",,"87","70"
"USW00013874","1996-09-04",,"85","67"
"USW00013874","1996-09-05",,"87","70"
"USW00013874","1996-09-06",,"89","70"
"USW00013874","1996-09-07",,"89","72"
"USW00013874","1996-09-08",,"89","69"
"USW00013874","1996-09-09",,"91","71"
"USW00013874","1996-09-10",,"85","70"
"USW00013874","1996-09-11",,"86","66"
"USW00013874","1996-09-12",,"88","67"
"USW00013874","1996-09-13",,"78","59"
"USW00013874","1996-09-14",,"79","53"
"USW00013874","1996-09-15",,"86","58"
"USW00013874","1996-09-16",,"83","72"
"USW00013874","1996-09-17",,"83","63"
"USW00013874","1996-09-18",,"78","58"
"USW00013874","1996-09-19",,"79","57"
"USW00013874","1996-09-20",,"79","59"
"USW00013874","1996-09-21",,"78","64"
"USW00013874","1996-09-22",,"81","60"
"USW00013874","1996-09-23",,"85","60"
"USW00013874","1996-09-24",,"85","61"
"USW00013874","1996-09-25",,"87","66"
"USW00013874","1996-09-26",,"85","67"
"USW00013874","1996-09-27",,"79","71"
"USW00013874","1996-09-28",,"75","56"
"USW00013874","1996-09-29",,"72","53"
"USW00013874","1996-09-30",,"65","61"
"USW00013874","1996-10-01",,"66","60"
"USW00013874","1996-10-02",,"72","62"
"USW00013874","1996-10-03",,"84","65"
"USW00013874","1996-10-04",,"70","54"
"USW00013874","1996-10-05",,"66","47"
"USW00013874","1996-10-06",,"65","55"
"USW00013874","1996-10-07",,"60","55"
"USW00013874","1996-10-08",,"78","59"
"USW00013874","1996-10-09",,"70","51"
"USW00013874","1996-10-10",,"72","48"
"USW00013874","1996-10-11",,"69","46"
"USW00013874","1996-10-12",,"69","46"
"USW00013874","1996-10-13",,"73","47"
"USW00013874","1996-10-14",,"79","49"
"USW00013874","1996-10-15",,"81","53"
"USW00013874","1996-10-16",,"80","55"
"USW00013874","1996-10-17",,"83","60"
"USW00013874","1996-10-18",,"67","45"
"USW00013874","1996-10-19",,"63","38"
"USW00013874","1996-10-20",,"68","39"
"USW00013874","1996-10-21",,"79","49"
"USW00013874","1996-10-22",,"81","54"
"USW00013874","1996-10-23",,"69","48"
"USW00013874","1996-10-24",,"73","45"
"USW00013874","1996-10-25",,"73","50"
"USW00013874","1996-10-26",,"75","60"
"USW00013874","1996-10-27",,"76","61"
"USW00013874","1996-10-28",,"83","63"
"USW00013874","1996-10-29",,"85","67"
"USW00013874","1996-10-30",,"82","59"
"USW00013874","1996-10-31",,"81","51"
"USW00013874","1996-11-01",,"73","54"
"USW00013874","1996-11-02",,"66","41"
"USW00013874","1996-11-03",,"59","32"
"USW00013874","1996-11-04",,"61","33"
"USW00013874","1996-11-05",,"62","50"
"USW00013874","1996-11-06",,"77","57"
"USW00013874","1996-11-07",,"75","65"
"USW00013874","1996-11-08",,"71","42"
"USW00013874","1996-11-09",,"53","36"
"USW00013874","1996-11-10",,"51","36"
"USW00013874","1996-11-11",,"50","30"
"USW00013874","1996-11-12",,"56","31"
"USW00013874","1996-11-13",,"58","45"
"USW00013874","1996-11-14",,"68","47"
"USW00013874","1996-11-15",,"51","38"
"USW00013874","1996-11-16",,"55","36"
"USW00013874","1996-11-17",,"61","45"
"USW00013874","1996-11-18",,"58","48"
"USW00013874","1996-11-19",,"67","52"
"USW00013874","1996-11-20",,"65","47"
"USW00013874","1996-11-21",,"74","51"
"USW00013874","1996-11-22",,"56","40"
"USW00013874","1996-11-23",,"60","35"
"USW00013874","1996-11-24",,"67","40"
"USW00013874","1996-11-25",,"70","57"
"USW00013874","1996-11-26",,"58","36"
